YEAR,CNN,FAC_NAME,COUNTY,STATIONS,PROF_NP,CHAIN_OWN,CHAIN_ORG,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
2021,52665,DaVita Santa Monica Dialysis,Los Angeles,22,profit,yes,DaVita,85,,4,,81.0,80.0,78.0,85.0,88.0,88.0
2020,52665,DaVita Santa Monica Dialysis,Los Angeles,22,profit,yes,DaVita,85,,4,,81.0,80.0,78.0,85.0,88.0,88.0
2019,52665,DaVita Santa Monica Dialysis,Los Angeles,22,profit,yes,DaVita,81,,4,,84.0,81.0,76.0,88.0,86.0,89.0
2018,52665,DaVita Santa Monica Dialysis,Los Angeles,22,profit,yes,DaVita,89,,4,,85.0,83.0,77.0,87.0,89.0,91.0
2024,52666,DaVita Tulare Dialysis,Tulare,16,profit,yes,DaVita,52,31,4,4,77.0,78.0,82.0,88.0,89.0,90.0
2023,52666,DaVita Tulare Dialysis,Tulare,16,profit,yes,DaVita,54,34,4,4,80.0,75.0,79.0,89.0,87.0,89.0
2022,52666,DaVita Tulare Dialysis,Tulare,16,profit,yes,DaVita,41,,3,,78.0,78.0,86.0,83.0,82.0,84.0
2021,52666,DaVita Tulare Dialysis,Tulare,16,profit,yes,DaVita,57,,4,,87.0,80.0,86.0,88.0,86.0,89.0
2020,52666,DaVita Tulare Dialysis,Tulare,16,profit,yes,DaVita,57,,4,,87.0,80.0,86.0,88.0,86.0,89.0
2019,52666,DaVita Tulare Dialysis,Tulare,16,profit,yes,DaVita,46,,4,,89.0,88.0,90.0,93.0,92.0,91.0
2018,52666,DaVita Tulare Dialysis,Tulare,16,profit,yes,DaVita,59,,5,,89.0,87.0,88.0,95.0,93.0,96.0
2024,52668,CAMARILLO DIALYSIS CENTER,Ventura,15,profit,yes,Fresenius Medical Care,,,,,,,,,,
2023,52668,CAMARILLO DIALYSIS CENTER,Ventura,15,profit,yes,Fresenius Medical Care,,,,,,,,,,
2022,52668,CAMARILLO DIALYSIS CENTER,Ventura,15,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52668,CAMARILLO DIALYSIS CENTER,Ventura,15,profit,yes,Fresenius Medical Care,,,,,,,,,,
2020,52668,CAMARILLO DIALYSIS CENTER,Ventura,15,profit,yes,Fresenius Medical Care,,,,,,,,,,
2019,52668,CAMARILLO DIALYSIS CENTER,Ventura,15,profit,yes,Fresenius Medical Care,,,,,,,,,,
2018,52668,CAMARILLO DIALYSIS CENTER,Ventura,15,profit,yes,Fresenius Medical Care,,,,,,,,,,
2024,52670,DaVita Imperial Dialysis,Los Angeles,30,profit,yes,DaVita,58,23,3,3,84.0,79.0,78.0,85.0,86.0,87.0
2023,52670,DaVita Imperial Dialysis,Los Angeles,30,profit,yes,DaVita,69,28,3,3,84.0,77.0,72.0,84.0,81.0,85.0
2022,52670,DaVita Imperial Dialysis,Los Angeles,30,profit,yes,DaVita,49,,4,,88.0,83.0,86.0,91.0,87.0,89.0
2021,52670,DaVita Imperial Dialysis,Los Angeles,30,profit,yes,DaVita,71,,3,,87.0,81.0,84.0,87.0,86.0,85.0
2020,52670,DaVita Imperial Dialysis,Los Angeles,30,profit,yes,DaVita,71,,3,,87.0,81.0,84.0,87.0,86.0,85.0
2019,52670,DaVita Imperial Dialysis,Los Angeles,30,profit,yes,DaVita,73,,4,,88.0,83.0,84.0,90.0,89.0,91.0
2018,52670,DaVita Imperial Dialysis,Los Angeles,30,profit,yes,DaVita,119,,3,,88.0,80.0,82.0,90.0,86.0,88.0
2024,52671,DaVita United Dialysis Center,Los Angeles,28,profit,yes,DaVita,81,28,3,3,79.0,81.0,73.0,81.0,83.0,85.0
2023,52671,DaVita United Dialysis Center,Los Angeles,28,profit,yes,DaVita,72,26,3,3,79.0,81.0,74.0,82.0,85.0,87.0
2022,52671,DaVita United Dialysis Center,Los Angeles,28,profit,yes,DaVita,62,,3,,85.0,82.0,81.0,88.0,86.0,87.0
2021,52671,DaVita United Dialysis Center,Los Angeles,28,profit,yes,DaVita,107,,3,,73.0,79.0,81.0,78.0,85.0,85.0
2020,52671,DaVita United Dialysis Center,Los Angeles,28,profit,yes,DaVita,107,,3,,73.0,79.0,81.0,78.0,85.0,85.0
2019,52671,DaVita United Dialysis Center,Los Angeles,28,profit,yes,DaVita,103,,3,,80.0,80.0,80.0,85.0,85.0,87.0
2018,52671,DaVita United Dialysis Center,Los Angeles,28,profit,yes,DaVita,118,,3,,75.0,78.0,82.0,81.0,86.0,87.0
2024,52673,DaVita Bakersfield Dialysis Center,Kern,76,profit,yes,DaVita,46,22,2,2,75.0,74.0,68.0,78.0,79.0,81.0
2023,52673,DaVita Bakersfield Dialysis Center,Kern,76,profit,yes,DaVita,52,23,3,3,81.0,80.0,67.0,86.0,82.0,85.0
2022,52673,DaVita Bakersfield Dialysis Center,Kern,76,profit,yes,DaVita,65,,3,,79.0,81.0,69.0,83.0,81.0,86.0
2021,52673,DaVita Bakersfield Dialysis Center,Kern,76,profit,yes,DaVita,84,,4,,85.0,85.0,81.0,87.0,89.0,89.0
2020,52673,DaVita Bakersfield Dialysis Center,Kern,76,profit,yes,DaVita,84,,4,,85.0,85.0,81.0,87.0,89.0,89.0
2019,52673,DaVita Bakersfield Dialysis Center,Kern,76,profit,yes,DaVita,105,,4,,84.0,85.0,81.0,87.0,89.0,90.0
2018,52673,DaVita Bakersfield Dialysis Center,Kern,76,profit,yes,DaVita,139,,4,,84.0,84.0,84.0,88.0,90.0,90.0
2024,52674,DaVita Delano Dialysis,Kern,32,profit,yes,DaVita,67,29,4,3,77.0,79.0,80.0,81.0,88.0,90.0
2023,52674,DaVita Delano Dialysis,Kern,32,profit,yes,DaVita,77,32,4,3,78.0,80.0,72.0,81.0,89.0,91.0
2022,52674,DaVita Delano Dialysis,Kern,32,profit,yes,DaVita,60,,4,,79.0,82.0,82.0,82.0,86.0,89.0
2021,52674,DaVita Delano Dialysis,Kern,32,profit,yes,DaVita,101,,5,,84.0,86.0,87.0,88.0,92.0,93.0
2020,52674,DaVita Delano Dialysis,Kern,32,profit,yes,DaVita,101,,5,,84.0,86.0,87.0,88.0,92.0,93.0
2019,52674,DaVita Delano Dialysis,Kern,32,profit,yes,DaVita,111,,4,,84.0,83.0,86.0,89.0,89.0,89.0
2018,52674,DaVita Delano Dialysis,Kern,32,profit,yes,DaVita,108,,3,,79.0,81.0,82.0,84.0,87.0,88.0
2024,52675,DaVita East Bay Peritoneal Dialysis Center,Alameda,4,profit,yes,DaVita,,,,,,,,,,
2023,52675,DaVita East Bay Peritoneal Dialysis Center,Alameda,4,profit,yes,DaVita,,,,,,,,,,
2022,52675,DaVita East Bay Peritoneal Dialysis Center,Alameda,4,profit,yes,DaVita,,,,,,,,,,
2021,52675,DaVita East Bay Peritoneal Dialysis Center,Alameda,4,profit,yes,DaVita,,,,,,,,,,
2020,52675,DaVita East Bay Peritoneal Dialysis Center,Alameda,4,profit,yes,DaVita,,,,,,,,,,
2019,52675,DaVita East Bay Peritoneal Dialysis Center,Alameda,4,profit,yes,DaVita,,,,,,,,,,
2018,52675,DaVita East Bay Peritoneal Dialysis Center,Alameda,4,profit,yes,DaVita,,,,,,,,,,
2024,52676,DCI UNIVERSITY DIALYSIS CLINIC,Sacramento,24,non_profit,yes,"Dialysis Clinic, Inc.",36,27,5,5,86.0,86.0,86.0,88.0,91.0,94.0
2023,52676,DCI UNIVERSITY DIALYSIS CLINIC,Sacramento,24,non_profit,yes,"Dialysis Clinic, Inc.",35,27,5,4,79.0,83.0,85.0,87.0,90.0,93.0
2022,52676,DCI UNIVERSITY DIALYSIS CLINIC,Sacramento,24,non_profit,yes,"Dialysis Clinic, Inc.",32,,5,,89.0,92.0,87.0,91.0,97.0,97.0
2021,52676,DCI UNIVERSITY DIALYSIS CLINIC,Sacramento,24,non_profit,yes,"Dialysis Clinic, Inc.",38,,5,,84.0,85.0,81.0,88.0,89.0,91.0
2020,52676,DCI UNIVERSITY DIALYSIS CLINIC,Sacramento,24,non_profit,yes,"Dialysis Clinic, Inc.",38,,5,,84.0,85.0,81.0,88.0,89.0,91.0
2019,52676,DCI UNIVERSITY DIALYSIS CLINIC,Sacramento,24,non_profit,yes,"Dialysis Clinic, Inc.",41,,4,,75.0,81.0,82.0,80.0,88.0,91.0
2018,52676,DCI UNIVERSITY DIALYSIS CLINIC,Sacramento,24,non_profit,yes,"Dialysis Clinic, Inc.",37,,5,,89.0,89.0,84.0,88.0,95.0,96.0
2024,52677,SAN JOAQUIN VALLEY DIALYSIS,Fresno,22,profit,yes,Fresenius Medical Care,34,20,1,2,69.0,74.0,84.0,75.0,78.0,75.0
2023,52677,SAN JOAQUIN VALLEY DIALYSIS,Fresno,22,profit,yes,Fresenius Medical Care,35,19,1,2,61.0,72.0,78.0,71.0,76.0,74.0
2022,52677,SAN JOAQUIN VALLEY DIALYSIS,Fresno,22,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52677,SAN JOAQUIN VALLEY DIALYSIS,Fresno,22,profit,yes,Fresenius Medical Care,37,,2,,84.0,76.0,75.0,84.0,80.0,82.0
2020,52677,SAN JOAQUIN VALLEY DIALYSIS,Fresno,22,profit,yes,Fresenius Medical Care,37,,2,,84.0,76.0,75.0,84.0,80.0,82.0
2019,52677,SAN JOAQUIN VALLEY DIALYSIS,Fresno,22,profit,yes,Fresenius Medical Care,35,,2,,77.0,78.0,78.0,83.0,82.0,83.0
2018,52677,SAN JOAQUIN VALLEY DIALYSIS,Fresno,22,profit,yes,Fresenius Medical Care,47,,1,,72.0,74.0,70.0,76.0,77.0,78.0
2024,52678,GATEWAY DIALYSIS CENTER - EAST,San Diego,24,profit,yes,Fresenius Medical Care,52,24,3,3,78.0,77.0,76.0,79.0,87.0,88.0
2023,52678,GATEWAY DIALYSIS CENTER - EAST,San Diego,24,profit,yes,Fresenius Medical Care,63,29,3,3,78.0,77.0,80.0,80.0,85.0,85.0
2022,52678,GATEWAY DIALYSIS CENTER - EAST,San Diego,24,profit,yes,Fresenius Medical Care,42,,4,,79.0,78.0,84.0,83.0,87.0,88.0
2021,52678,GATEWAY DIALYSIS CENTER - EAST,San Diego,24,profit,yes,Fresenius Medical Care,51,,3,,75.0,78.0,82.0,81.0,84.0,85.0
2020,52678,GATEWAY DIALYSIS CENTER - EAST,San Diego,24,profit,yes,Fresenius Medical Care,51,,3,,75.0,78.0,82.0,81.0,84.0,85.0
2019,52678,GATEWAY DIALYSIS CENTER - EAST,San Diego,24,profit,yes,Fresenius Medical Care,57,,3,,75.0,77.0,73.0,82.0,83.0,85.0
2018,52678,GATEWAY DIALYSIS CENTER - EAST,San Diego,24,profit,yes,Fresenius Medical Care,50,,3,,77.0,74.0,77.0,85.0,85.0,87.0
2024,52682,DaVita Fontana Dialysis,San Bernardino,28,profit,yes,DaVita,65,23,3,4,86.0,86.0,77.0,86.0,88.0,89.0
2023,52682,DaVita Fontana Dialysis,San Bernardino,28,profit,yes,DaVita,60,22,3,4,85.0,85.0,80.0,87.0,86.0,87.0
2022,52682,DaVita Fontana Dialysis,San Bernardino,28,profit,yes,DaVita,52,,4,,81.0,82.0,73.0,84.0,87.0,89.0
2021,52682,DaVita Fontana Dialysis,San Bernardino,28,profit,yes,DaVita,66,,4,,80.0,81.0,77.0,83.0,85.0,87.0
2020,52682,DaVita Fontana Dialysis,San Bernardino,28,profit,yes,DaVita,66,,4,,80.0,81.0,77.0,83.0,85.0,87.0
2019,52682,DaVita Fontana Dialysis,San Bernardino,28,profit,yes,DaVita,82,,4,,79.0,80.0,84.0,83.0,88.0,90.0
2018,52682,DaVita Fontana Dialysis,San Bernardino,28,profit,yes,DaVita,83,,3,,78.0,79.0,76.0,84.0,82.0,85.0
2024,52683,RAI - EAST OLYMPIC - LOS ANGELES,Los Angeles,24,profit,yes,Fresenius Medical Care,,,,,,,,,,
2023,52683,RAI - EAST OLYMPIC - LOS ANGELES,Los Angeles,24,profit,yes,Fresenius Medical Care,,,,,,,,,,
2022,52683,RAI - EAST OLYMPIC - LOS ANGELES,Los Angeles,24,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52683,RAI - EAST OLYMPIC - LOS ANGELES,Los Angeles,24,profit,yes,Fresenius Medical Care,31,,3,,78.0,80.0,78.0,82.0,88.0,86.0
2020,52683,RAI - EAST OLYMPIC - LOS ANGELES,Los Angeles,24,profit,yes,Fresenius Medical Care,31,,3,,78.0,80.0,78.0,82.0,88.0,86.0
2019,52683,RAI - EAST OLYMPIC - LOS ANGELES,Los Angeles,24,profit,yes,Fresenius Medical Care,,,,,,,,,,
2018,52683,RAI - EAST OLYMPIC - LOS ANGELES,Los Angeles,24,profit,yes,Fresenius Medical Care,34,,2,,75.0,76.0,67.0,81.0,82.0,84.0
2024,52684,Peritoneal Dialysis Center of America-San Gabriel PC,Los Angeles,2,profit,no,Independent,,,,,,,,,,
2023,52684,Peritoneal Dialysis Center of America-San Gabriel PC,Los Angeles,2,profit,no,Independent,,,,,,,,,,
2022,52684,Peritoneal Dialysis Center of America-San Gabriel PC,Los Angeles,2,profit,no,Independent,,,,,,,,,,
2021,52684,Peritoneal Dialysis Center of America-San Gabriel PC,Los Angeles,2,profit,no,Independent,,,,,,,,,,
2020,52684,Peritoneal Dialysis Center of America-San Gabriel PC,Los Angeles,2,profit,no,Independent,,,,,,,,,,
2019,52684,Peritoneal Dialysis Center of America-San Gabriel PC,Los Angeles,2,profit,no,Independent,,,,,,,,,,
2018,52684,Peritoneal Dialysis Center of America-San Gabriel PC,Los Angeles,2,profit,no,Independent,,,,,,,,,,
2024,52685,DaVita Hayward Dialysis Center,Alameda,30,profit,yes,DaVita,47,20,2,2,71.0,78.0,72.0,72.0,81.0,84.0
2023,52685,DaVita Hayward Dialysis Center,Alameda,30,profit,yes,DaVita,49,24,2,2,67.0,73.0,69.0,71.0,80.0,81.0
2022,52685,DaVita Hayward Dialysis Center,Alameda,30,profit,yes,DaVita,45,,4,,82.0,82.0,83.0,87.0,89.0,91.0
2021,52685,DaVita Hayward Dialysis Center,Alameda,30,profit,yes,DaVita,59,,3,,78.0,80.0,83.0,83.0,85.0,85.0
2020,52685,DaVita Hayward Dialysis Center,Alameda,30,profit,yes,DaVita,59,,3,,78.0,80.0,83.0,83.0,85.0,85.0
2019,52685,DaVita Hayward Dialysis Center,Alameda,30,profit,yes,DaVita,50,,1,,71.0,72.0,78.0,76.0,78.0,77.0
2018,52685,DaVita Hayward Dialysis Center,Alameda,30,profit,yes,DaVita,68,,3,,78.0,78.0,84.0,78.0,84.0,85.0
2024,52686,FRESENIUS MEDICAL CARE BALBOA LA MESA,San Diego,24,profit,yes,Fresenius Medical Care,69,24,2,2,76.0,79.0,78.0,76.0,84.0,84.0
2023,52686,FRESENIUS MEDICAL CARE BALBOA LA MESA,San Diego,24,profit,yes,Fresenius Medical Care,74,26,3,3,76.0,80.0,78.0,80.0,88.0,87.0
2022,52686,FRESENIUS MEDICAL CARE BALBOA LA MESA,San Diego,24,profit,yes,Fresenius Medical Care,67,,3,,71.0,78.0,74.0,76.0,84.0,86.0
2021,52686,FRESENIUS MEDICAL CARE BALBOA LA MESA,San Diego,24,profit,yes,Fresenius Medical Care,76,,4,,77.0,81.0,78.0,82.0,87.0,88.0
2020,52686,FRESENIUS MEDICAL CARE BALBOA LA MESA,San Diego,24,profit,yes,Fresenius Medical Care,76,,4,,77.0,81.0,78.0,82.0,87.0,88.0
2019,52686,FRESENIUS MEDICAL CARE BALBOA LA MESA,San Diego,24,profit,yes,Fresenius Medical Care,73,,4,,83.0,84.0,81.0,86.0,89.0,91.0
2018,52686,FRESENIUS MEDICAL CARE BALBOA LA MESA,San Diego,24,profit,yes,Fresenius Medical Care,69,,4,,77.0,80.0,80.0,80.0,87.0,90.0
2024,52687,BMA CARSON COMMUNITY DIALYSIS,Los Angeles,11,profit,yes,Fresenius Medical Care,32,31,3,3,74.0,81.0,76.0,83.0,89.0,89.0
2023,52687,BMA CARSON COMMUNITY DIALYSIS,Los Angeles,11,profit,yes,Fresenius Medical Care,,,,,,,,,,
2022,52687,BMA CARSON COMMUNITY DIALYSIS,Los Angeles,11,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52687,BMA CARSON COMMUNITY DIALYSIS,Los Angeles,11,profit,yes,Fresenius Medical Care,,,,,,,,,,
2020,52687,BMA CARSON COMMUNITY DIALYSIS,Los Angeles,11,profit,yes,Fresenius Medical Care,,,,,,,,,,
2019,52687,BMA CARSON COMMUNITY DIALYSIS,Los Angeles,11,profit,yes,Fresenius Medical Care,,,,,,,,,,
2018,52687,BMA CARSON COMMUNITY DIALYSIS,Los Angeles,11,profit,yes,Fresenius Medical Care,31,,4,,75.0,78.0,71.0,80.0,83.0,89.0
2024,52689,DaVita Walnut Creek Dialysis Center,Contra Costa,24,profit,yes,DaVita,32,23,3,4,83.0,84.0,86.0,87.0,85.0,87.0
2023,52689,DaVita Walnut Creek Dialysis Center,Contra Costa,24,profit,yes,DaVita,33,26,4,4,87.0,86.0,89.0,89.0,90.0,90.0
2022,52689,DaVita Walnut Creek Dialysis Center,Contra Costa,24,profit,yes,DaVita,,,,,,,,,,
2021,52689,DaVita Walnut Creek Dialysis Center,Contra Costa,24,profit,yes,DaVita,31,,4,,82.0,80.0,79.0,86.0,88.0,88.0
2020,52689,DaVita Walnut Creek Dialysis Center,Contra Costa,24,profit,yes,DaVita,31,,4,,82.0,80.0,79.0,86.0,88.0,88.0
2019,52689,DaVita Walnut Creek Dialysis Center,Contra Costa,24,profit,yes,DaVita,47,,4,,81.0,82.0,80.0,84.0,88.0,89.0
2018,52689,DaVita Walnut Creek Dialysis Center,Contra Costa,24,profit,yes,DaVita,47,,2,,81.0,80.0,79.0,81.0,83.0,84.0
2024,52690,EL CENTRO DESERT DIALYSIS CENTER,Imperial,20,profit,yes,Fresenius Medical Care,49,34,3,4,89.0,81.0,82.0,89.0,86.0,87.0
2023,52690,EL CENTRO DESERT DIALYSIS CENTER,Imperial,20,profit,yes,Fresenius Medical Care,42,30,3,3,88.0,80.0,78.0,84.0,82.0,85.0
2022,52690,EL CENTRO DESERT DIALYSIS CENTER,Imperial,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52690,EL CENTRO DESERT DIALYSIS CENTER,Imperial,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2020,52690,EL CENTRO DESERT DIALYSIS CENTER,Imperial,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2019,52690,EL CENTRO DESERT DIALYSIS CENTER,Imperial,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2018,52690,EL CENTRO DESERT DIALYSIS CENTER,Imperial,20,profit,yes,Fresenius Medical Care,30,,3,,81.0,81.0,81.0,88.0,88.0,87.0
2024,52691,DaVita Cameron Park Dialysis,El Dorado,23,profit,yes,DaVita,48,34,3,4,76.0,80.0,85.0,79.0,88.0,89.0
2023,52691,DaVita Cameron Park Dialysis,El Dorado,23,profit,yes,DaVita,46,34,4,4,82.0,82.0,89.0,85.0,92.0,92.0
2022,52691,DaVita Cameron Park Dialysis,El Dorado,23,profit,yes,DaVita,31,,5,,88.0,91.0,89.0,92.0,95.0,96.0
2021,52691,DaVita Cameron Park Dialysis,El Dorado,23,profit,yes,DaVita,70,,4,,80.0,82.0,84.0,83.0,86.0,89.0
2020,52691,DaVita Cameron Park Dialysis,El Dorado,23,profit,yes,DaVita,70,,4,,80.0,82.0,84.0,83.0,86.0,89.0
2019,52691,DaVita Cameron Park Dialysis,El Dorado,23,profit,yes,DaVita,74,,4,,86.0,81.0,81.0,86.0,89.0,90.0
2018,52691,DaVita Cameron Park Dialysis,El Dorado,23,profit,yes,DaVita,79,,4,,87.0,86.0,84.0,85.0,88.0,90.0
2024,52694,FRESENIUS MEDICAL CARE LOS GATOS,Santa Clara,12,profit,yes,Fresenius Medical Care,,,,,,,,,,
2023,52694,FRESENIUS MEDICAL CARE LOS GATOS,Santa Clara,12,profit,yes,Fresenius Medical Care,,,,,,,,,,
2022,52694,FRESENIUS MEDICAL CARE LOS GATOS,Santa Clara,12,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52694,FRESENIUS MEDICAL CARE LOS GATOS,Santa Clara,12,profit,yes,Fresenius Medical Care,,,,,,,,,,
2020,52694,FRESENIUS MEDICAL CARE LOS GATOS,Santa Clara,12,profit,yes,Fresenius Medical Care,,,,,,,,,,
2019,52694,FRESENIUS MEDICAL CARE LOS GATOS,Santa Clara,12,profit,yes,Fresenius Medical Care,33,,4,,88.0,86.0,80.0,90.0,90.0,93.0
2018,52694,FRESENIUS MEDICAL CARE LOS GATOS,Santa Clara,12,profit,yes,Fresenius Medical Care,,,,,,,,,,
2024,52695,DaVita Los Angeles Dialysis Center,Los Angeles,28,profit,yes,DaVita,52,25,3,2,75.0,76.0,70.0,77.0,83.0,85.0
2023,52695,DaVita Los Angeles Dialysis Center,Los Angeles,28,profit,yes,DaVita,52,23,2,2,79.0,75.0,72.0,83.0,82.0,84.0
2022,52695,DaVita Los Angeles Dialysis Center,Los Angeles,28,profit,yes,DaVita,46,,2,,70.0,72.0,73.0,73.0,84.0,79.0
2021,52695,DaVita Los Angeles Dialysis Center,Los Angeles,28,profit,yes,DaVita,76,,3,,77.0,79.0,79.0,83.0,86.0,86.0
2020,52695,DaVita Los Angeles Dialysis Center,Los Angeles,28,profit,yes,DaVita,76,,3,,77.0,79.0,79.0,83.0,86.0,86.0
2019,52695,DaVita Los Angeles Dialysis Center,Los Angeles,28,profit,yes,DaVita,94,,3,,75.0,77.0,79.0,79.0,83.0,86.0
2018,52695,DaVita Los Angeles Dialysis Center,Los Angeles,28,profit,yes,DaVita,97,,3,,79.0,79.0,83.0,83.0,85.0,86.0
2024,52696,DaVita Visalia Dialysis,Tulare,24,profit,yes,DaVita,34,19,3,4,82.0,78.0,83.0,89.0,88.0,88.0
2023,52696,DaVita Visalia Dialysis,Tulare,24,profit,yes,DaVita,42,22,2,3,78.0,73.0,77.0,85.0,81.0,81.0
2022,52696,DaVita Visalia Dialysis,Tulare,24,profit,yes,DaVita,42,,3,,75.0,81.0,74.0,81.0,85.0,85.0
2021,52696,DaVita Visalia Dialysis,Tulare,24,profit,yes,DaVita,58,,3,,81.0,79.0,82.0,85.0,88.0,86.0
2020,52696,DaVita Visalia Dialysis,Tulare,24,profit,yes,DaVita,58,,3,,81.0,79.0,82.0,85.0,88.0,86.0
2019,52696,DaVita Visalia Dialysis,Tulare,24,profit,yes,DaVita,68,,3,,81.0,80.0,74.0,83.0,84.0,85.0
2018,52696,DaVita Visalia Dialysis,Tulare,24,profit,yes,DaVita,96,,4,,88.0,84.0,82.0,89.0,92.0,92.0
2024,52699,High Desert Hemodialysis,Los Angeles,10,profit,no,Independent,33,28,5,5,88.0,90.0,80.0,91.0,94.0,93.0
2023,52699,High Desert Hemodialysis,Los Angeles,10,profit,no,Independent,30,28,4,4,84.0,85.0,77.0,92.0,92.0,92.0
2022,52699,High Desert Hemodialysis,Los Angeles,10,profit,no,Independent,30,,5,,87.0,90.0,82.0,92.0,92.0,94.0
2021,52699,High Desert Hemodialysis,Los Angeles,10,profit,no,Independent,47,,5,,89.0,88.0,77.0,95.0,93.0,94.0
2020,52699,High Desert Hemodialysis,Los Angeles,10,profit,no,Independent,47,,5,,89.0,88.0,77.0,95.0,93.0,94.0
2019,52699,High Desert Hemodialysis,Los Angeles,10,profit,no,Independent,,,,,,,,,,
2018,52699,High Desert Hemodialysis,Los Angeles,10,profit,no,Independent,,,,,,,,,,
2024,52700,DaVita Monterey Park Dialysis Center,Los Angeles,28,profit,yes,DaVita,41,24,4,4,83.0,82.0,77.0,85.0,89.0,90.0
2023,52700,DaVita Monterey Park Dialysis Center,Los Angeles,28,profit,yes,DaVita,35,23,3,3,70.0,79.0,74.0,78.0,88.0,88.0
2022,52700,DaVita Monterey Park Dialysis Center,Los Angeles,28,profit,yes,DaVita,43,,3,,81.0,82.0,83.0,84.0,86.0,87.0
2021,52700,DaVita Monterey Park Dialysis Center,Los Angeles,28,profit,yes,DaVita,54,,4,,82.0,81.0,76.0,88.0,89.0,89.0
2020,52700,DaVita Monterey Park Dialysis Center,Los Angeles,28,profit,yes,DaVita,54,,4,,82.0,81.0,76.0,88.0,89.0,89.0
2019,52700,DaVita Monterey Park Dialysis Center,Los Angeles,28,profit,yes,DaVita,61,,4,,82.0,81.0,82.0,90.0,89.0,91.0
2018,52700,DaVita Monterey Park Dialysis Center,Los Angeles,28,profit,yes,DaVita,75,,4,,81.0,82.0,79.0,84.0,88.0,91.0
2024,52701,U.S. Renal Care Earl Street Dialysis,Los Angeles,9,profit,yes,"US Renal Care, Inc.",,,,,,,,,,
2023,52701,U.S. Renal Care Earl Street Dialysis,Los Angeles,9,profit,yes,"US Renal Care, Inc.",,,,,,,,,,
2022,52701,U.S. Renal Care Earl Street Dialysis,Los Angeles,9,profit,yes,"US Renal Care, Inc.",,,,,,,,,,
2021,52701,U.S. Renal Care Earl Street Dialysis,Los Angeles,9,profit,yes,"US Renal Care, Inc.",33,,3,,84.0,79.0,79.0,86.0,85.0,85.0
2020,52701,U.S. Renal Care Earl Street Dialysis,Los Angeles,9,profit,yes,"US Renal Care, Inc.",33,,3,,84.0,79.0,79.0,86.0,85.0,85.0
2019,52701,U.S. Renal Care Earl Street Dialysis,Los Angeles,9,profit,yes,"US Renal Care, Inc.",36,,3,,79.0,83.0,82.0,84.0,88.0,86.0
2018,52701,U.S. Renal Care Earl Street Dialysis,Los Angeles,9,profit,yes,"US Renal Care, Inc.",35,,3,,85.0,79.0,81.0,87.0,87.0,85.0
2024,52703,RAI - WEST MARCH - STOCKTON,San Joaquin,36,profit,yes,Fresenius Medical Care,35,19,3,3,77.0,81.0,83.0,81.0,88.0,88.0
2023,52703,RAI - WEST MARCH - STOCKTON,San Joaquin,36,profit,yes,Fresenius Medical Care,32,19,4,4,79.0,80.0,83.0,82.0,89.0,89.0
2022,52703,RAI - WEST MARCH - STOCKTON,San Joaquin,36,profit,yes,Fresenius Medical Care,31,,4,,81.0,79.0,75.0,87.0,90.0,88.0
2021,52703,RAI - WEST MARCH - STOCKTON,San Joaquin,36,profit,yes,Fresenius Medical Care,40,,4,,77.0,80.0,74.0,83.0,86.0,88.0
2020,52703,RAI - WEST MARCH - STOCKTON,San Joaquin,36,profit,yes,Fresenius Medical Care,40,,4,,77.0,80.0,74.0,83.0,86.0,88.0
2019,52703,RAI - WEST MARCH - STOCKTON,San Joaquin,36,profit,yes,Fresenius Medical Care,42,,2,,76.0,74.0,75.0,82.0,83.0,84.0
2018,52703,RAI - WEST MARCH - STOCKTON,San Joaquin,36,profit,yes,Fresenius Medical Care,41,,2,,80.0,74.0,80.0,87.0,82.0,82.0
2024,52705,Fresenius N. California - Stockton,San Joaquin,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2023,52705,Fresenius N. California - Stockton,San Joaquin,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2022,52705,Fresenius N. California - Stockton,San Joaquin,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52705,Fresenius N. California - Stockton,San Joaquin,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2020,52705,Fresenius N. California - Stockton,San Joaquin,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2019,52705,Fresenius N. California - Stockton,San Joaquin,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2018,52705,Fresenius N. California - Stockton,San Joaquin,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2024,52706,DaVita Atwater Dialysis,Merced,16,profit,yes,DaVita,43,30,4,4,85.0,82.0,81.0,87.0,89.0,90.0
