"CMS Certification Number (CCN)","Network","Facility Name","Address Line 1","Address Line 2","City/Town","State","ZIP Code","County/Parish","Telephone Number","Profit or Non-Profit","Chain Owned","Chain Organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Star rating of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Survey of patients' experiences star rating","Survey response rate"
052895,18,DaVita Lake Elsinore Dialysis,32291 Mission Trail,BLDG S,Lake Elsinore,CA,92530,Riverside,(951) 674-5050,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,10,11,79,89,5,12,20,68,85,5,12,88,88,5,4,15,81,92,5,5,13,82,92,5,5,11,84,92,4,57,5,25
052896,18,DaVita Cerritos Dialysis,"19222 Pioneer Blvd., Suite 101",,Cerritos,CA,90703,Los Angeles,(562) 924-9990,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,28,11,61,74,2,26,17,57,73,2,25,75,75,2,25,11,64,81,3,18,21,61,84,2,16,11,73,87,3,45,2,26
052897,18,DaVita Tustin Dialysis,"2090 N. Tustin Avenue, Suite 100",,Santa Ana,CA,92705,Orange,(714) 835-2450,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,24,17,59,76,2,22,20,58,77,3,25,75,75,2,18,29,53,82,3,12,25,63,87,3,10,21,69,88,3,59,3,35
052898,18,RAI - LAGUNA CANYON - IRVINE,16255 Laguna Canyon Road,,Irvine,CA,92618,Orange,(949) 727-4495,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,16,11,73,85,4,20,14,66,79,3,27,73,73,2,10,26,64,87,4,6,21,73,90,4,11,2,87,90,4,57,4,33
052899,18,U.S. Renal Care Los Angeles Dialysis,2100 W 3rd St. Suite 110 and 105,,Los Angeles,CA,90057,Los Angeles,(213) 481-3041,Profit,Yes,"US Renal Care, Inc.",21OCT2022-14JUL2023,001,15,14,71,83,3,19,17,64,80,4,29,71,71,1,13,16,71,88,5,11,29,60,88,4,10,18,72,91,4,35,4,24
053501,17,PEDIATRIC DIALYSIS UNIT AT UCSF,"1825 4th Street, Room M5209",Box,SAN FRANCISCO,CA,94143,San Francisco,(415) 514-2425,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053506,18,Kaweah Health Dialysis Center,5040 W. Tulare Avenue,,Visalia,CA,93277,Tulare,(559) 624-3600,Non-profit,No,Independent,21OCT2022-14JUL2023,001,11,8,81,89,5,8,16,76,89,5,18,82,82,4,9,19,72,90,5,5,5,90,95,5,3,4,93,96,5,48,5,24
053521,17,MEE MEMORIAL HOSPITAL-DIALYSIS,809 BROADWAY SUITE A,,KING CITY,CA,93930,Monterey,(831) 385-6034,Non-profit,No,Independent,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053523,17,UC CHRONIC DIALYSIS/MT. ZION,1675 SCOTT STREET,,SAN FRANCISCO,CA,94115,San Francisco,(415) 885-7421,Non-profit,No,Independent,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053525,17,COMMUNITY DIALYSIS CENTER,215 NORTH FRESNO STREET,SUITE 150,FRESNO,CA,93701,Fresno,(559) 459-3901,Non-profit,No,Independent,21OCT2022-14JUL2023,001,23,15,62,77,2,16,19,65,82,4,18,82,82,4,17,31,52,80,3,7,24,69,88,4,6,23,71,90,4,64,4,24
053526,17,SAN JOAQUIN GENERAL HOSPITAL,7783 SOUTH FREEDOM ROAD,,FRENCH CAMP,CA,95231,San Joaquin,(209) 468-6085,Non-profit,No,Independent,21OCT2022-14JUL2023,001,8,11,81,90,5,11,16,73,87,5,15,85,85,5,6,19,75,90,5,2,12,86,94,5,3,0,97,95,5,46,5,21
053528,17,KAISER PERMANENTE - SKYPORT,1721 TECHNOLOGY DRIVE DEPT #245,,SAN JOSE,CA,95110,Santa Clara,(408) 436-4300,Non-profit,Yes,Kaiser Permanente,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062303,15,062303 UNIVERSITY OF CO HOSPITAL - HOME DIALYSIS,12605 E. 16th Ave,,AURORA,CO,80045,Adams,(720) 848-3102,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062311,15,062311 THE CHILDRENS HOSPITAL KIDNEY CTR.,13123 E 16TH AVE #328,,AURORA,CO,80045,Adams,(720) 777-6263,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062315,15,062315 Heart of the Rockies Regional Dialysis Center,1000 Rush Drive,,SALIDA,CO,81201,Chaffee,(719) 530-2200,Profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062501,15,062501 ROCKY MOUNTAIN DIALYSIS (FMC),4600 HALE PKWY STE 120,,DENVER,CO,80220,Denver,(303) 320-6894,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062502,15,DaVita Lakewood Dialysis Center,1750 PIERCE ST,STE C,LAKEWOOD,CO,80214,Jefferson,(303) 238-6111,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062505,15,062505 NORTHERN COLORADO KIDNEY CENTER (FMC),2107 S. Timberline Rd,,FORT COLLINS,CO,80525,Larimer,(970) 482-2161,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,16,24,60,79,3,23,17,60,75,2,19,81,81,4,25,16,59,80,3,19,23,58,81,2,13,13,74,86,3,30,3,27
062507,15,DaVita Pikes Peak Dialysis Center,2002 LELARAY ST STE 130,,COLORADO SPRINGS,CO,80909,El Paso,(719) 471-4615,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,23,9,68,79,3,13,22,65,84,4,15,85,85,5,24,15,61,80,3,6,25,69,90,4,6,11,83,92,4,47,4,27
062510,15,062510 GREELEY DIALYSIS (FMC),2343 W 27TH ST STE 503,,GREELEY,CO,80634,Weld,(970) 330-6100,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062511,15,DaVita Thornton Dialysis Center,8800 FOX DR,,THORNTON,CO,80260,Adams,(303) 430-7020,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062514,15,DaVita Aurora Dialysis Center,"1411 S POTOMAC ST, AMC II STE 100",,AURORA,CO,80012,Arapahoe,(303) 368-1911,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,11,7,82,89,5,13,17,70,85,5,14,86,86,5,4,20,76,93,5,6,12,82,93,5,7,15,78,92,4,36,5,19
062517,15,DaVita Boulder Dialysis Center,2880 FOLSOM ST STE 110,,BOULDER,CO,80304,Boulder,(303) 440-5600,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062519,15,DaVita Littleton Dialysis Center,209 W COUNTY LINE RD,,LITTLETON,CO,80129,Arapahoe,(303) 730-7540,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062520,15,062520 PUEBLO DIALYSIS (FMC),41 MONTEBELLO RD STE 102,,PUEBLO,CO,81001,Pueblo,(719) 545-1575,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062521,15,DaVita Arvada Dialysis Center,9950 W 80TH AVE STE 25,,ARVADA,CO,80005,Jefferson,(303) 456-9556,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062523,15,062523 LOVELAND DIALYSIS (FMC),2940 GINNALA DR,,LOVELAND,CO,80538,Larimer,(970) 663-9155,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062525,15,062525 LA JUNTA DIALYSIS (FMC),1012 Hayes Ave,,La Junta,CO,81050,Otero,(719) 383-2300,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062526,15,062526 WALSENBURG DIALYSIS (FMC),23450 HIGHWAY 160,,WALSENBURG,CO,81089,Huerfano,(719) 738-4864,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062527,15,062527 NORTHEAST DENVER DIALYSIS (FKC),590 Laredo St,,Aurora,CO,80017,Arapahoe,(303) 344-8704,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062528,15,DaVita Cortez Dialysis Center,610 E MAIN ST,STE C,CORTEZ,CO,81321,Montezuma,(970) 565-4302,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062529,15,DaVita Lowry Dialysis Center,7465 E 1ST AVE STE A,,DENVER,CO,80230,Denver,(303) 367-0946,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062530,15,062530 MONTROSE DIALYSIS (DCI),846 SOUTH 5TH STREET,,MONTROSE,CO,81401,Montrose,(970) 240-3302,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062531,15,DaVita Englewood Dialysis Center,3247 S LINCOLN ST,,ENGLEWOOD,CO,80113,Arapahoe,(303) 761-0600,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062533,15,DaVita Commerce City Dialysis,6320 HOLLY ST,,COMMERCE CITY,CO,80022,Adams,(303) 853-4300,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062534,15,DaVita Longmont Dialysis Center,1715 IRON HORSE DR STE 170,,LONGMONT,CO,80501,Boulder,(303) 485-4084,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062535,15,DaVita Lakewood Crossing Dialysis,1057 S WADSWORTH BLVD STE 100,,LAKEWOOD,CO,80226,Jefferson,(720) 962-6199,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062536,15,062536 LAMAR DIALYSIS (FMC),108 WEST LEE AVE,,LAMAR,CO,81052,Prowers,(719) 336-1170,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062537,15,062537 PUEBLO SOUTH DIALYSIS (FMC),3426 LAKE AVENUE STE 110,,PUEBLO,CO,81004,Pueblo,(719) 564-2442,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062538,15,062538 GRAND JUNCTION DIALYSIS (DCI),2748 CROSSROADS BLVD,,GRAND JUNCTION,CO,81506,Mesa,(970) 255-0900,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062540,15,DaVita East Aurora Dialysis,482 S CHAMBERS RD,,AURORA,CO,80017,Arapahoe,(303) 696-1137,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062541,15,DaVita Mile High Home Dialysis,1750 PIERCE ST STE A,,LAKEWOOD,CO,80214,Jefferson,(303) 232-0939,Profit,Yes,DaVita,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062542,15,DaVita Brighton Dialysis,4700 E BROMLEY LN STE 103,,BRIGHTON,CO,80601,Adams,(303) 659-2511,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062543,15,DaVita Lonetree Dialysis Center,9777  PYRAMID CT STE 140,,ENGLEWOOD,CO,80112,Arapahoe,(303) 662-0466,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062545,15,FRESENIUS MEDICAL CARE EAST DENVER DIALYSIS,962 POTOMAC CIR,,AURORA,CO,80011,Arapahoe,(303) 340-1398,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062546,15,DaVita Denver Dialysis Center,2900 N DOWNING ST STE C,,DENVER,CO,80205,Denver,(303) 292-0303,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062547,15,DaVita Durango Dialysis Center,72 SUTTLE ST STE D,,DURANGO,CO,81303,La Plata,(970) 385-8608,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062548,15,062548 STAPLETON DIALYSIS (FMC),7606 E 36TH AVE,,DENVER,CO,80238,Denver,(303) 322-1513,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062550,15,DaVita Alamosa Dialysis,612 DEL SOL DR,,ALAMOSA,CO,81101,Alamosa,(719) 589-2022,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062553,15,DaVita Grand Junction Dialysis Center,710 WELLINGTON AVE STE 20,,GRAND JUNCTION,CO,81501,Mesa,(970) 263-8573,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062554,15,062554 KIDNEY CENTER OF ARVADA (ARA),5265 VANCE ST,,ARVADA,CO,80002,Jefferson,(303) 403-1127,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,001,15,19,66,82,3,16,23,61,81,4,22,78,78,3,13,23,64,83,4,10,20,70,87,3,17,11,72,86,3,41,3,31
062555,15,062555 KIDNEY CENTER OF LAFAYETTE (ARA),2655 CRESCENT DR STE C,,LAFAYETTE,CO,80026,Boulder,(720) 890-4661,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062556,15,062556 KIDNEY CENTER OF LAKEWOOD (ARA),6166 W ALAMEDA AVE,,DENVER,CO,80226,Jefferson,(303) 922-6371,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062557,15,062557 KIDNEY CENTER OF LONGMONT (ARA),1960 KEN PRATT BLVD STE A,,LONGMONT,CO,80501,Boulder,(303) 485-7100,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062558,15,062558 KIDNEY CENTER OF WESTMINSTER (ARA),8410 DECATUR ST STE 200,,WESTMINSTER,CO,80031,Adams,(303) 430-6518,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,001,19,13,68,81,3,18,14,68,81,4,18,82,82,4,19,16,65,83,4,21,13,66,85,3,19,6,75,87,3,34,4,20
062559,15,DaVita North Metro Dialysis Center,12365 HURON ST STE 500,,WESTMINSTER,CO,80234,Adams,(303) 451-9093,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062560,15,062560 US Renal Care Pueblo Dialysis,850 EAGLERIDGE BLVD,,PUEBLO,CO,81008,Pueblo,(719) 253-5980,Profit,Yes,"US Renal Care, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062561,15,DaVita North Colorado Springs Dialysis,6071 E WOODMEN RD STE 100,,COLORADO SPRINGS,CO,80923,El Paso,(719) 638-1223,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062562,15,DaVita Parker Dialysis Center,10371 S PARK GLENN WAY STE 180,,PARKER,CO,80138,Douglas,(303) 840-0541,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062563,15,062563 LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC),2180 HOLLOWBROOK DR,,COLORADO SPRINGS,CO,80918,El Paso,(719) 593-2999,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062564,15,062564 LIBERTY DIALYSIS - COLORADO SPRINGS SOUTH (FMC),2508 AIRPORT RD,,COLORADO SPRINGS,CO,80909,El Paso,(719) 227-7455,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062566,15,062566 LIBERTY DIALYSIS COLORADO SPRINGS CENTRAL (FMC),1910 E LELARAY ST,,COLORADO SPRINGS,CO,80909,El Paso,(719) 380-4878,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,26,9,65,76,2,30,17,53,72,2,23,77,77,3,28,24,48,78,2,20,35,45,80,2,11,36,53,85,3,38,2,24
062567,15,DaVita Mesa County Dialysis,561 25 ROAD STE D,,GRAND JUNCTION,CO,81505,Mesa,(970) 248-9120,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062568,15,062568 PUEBLO WEST DIALYSIS (FMC),73 N ASPEN SKI WAY,,PUEBLO WEST,CO,81007,Pueblo,(719) 547-3888,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062569,15,DaVita Black Canyon Dialysis,3421 S RIO GRANDE AVE,UNIT D1,MONTROSE,CO,81401,Montrose,(970) 240-7925,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062570,15,062570 KIDNEY CENTER OF BEAR CREEK (ARA),11058 WEST JEWELL AVE,,LAKEWOOD,CO,80232,Jefferson,(303) 233-4204,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062572,15,DaVita South West Denver Dialysis,8601 W CROSS DR,UNIT C-2,LITTLETON,CO,80123,Jefferson,(303) 933-2367,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062574,15,DaVita Red Hawk Dialysis,4348 WOODLAND BLVD STE 131,,CASTLE ROCK,CO,80104,Douglas,(303) 663-2875,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062575,15,062575 PAVILION DIALYSIS (FMC),723 DELAWARE ST #M105,,DENVER,CO,80204,Denver,(303) 623-2107,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062576,15,DaVita Sable Dialysis,509 N SABLE BLVD,,AURORA,CO,80011,Arapahoe,(303) 366-9458,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,24,6,70,79,3,14,19,67,82,4,22,78,78,3,18,21,61,82,3,8,36,56,85,3,12,24,64,86,3,47,3,27
062577,15,DaVita Northeastern Colorado Diaysis,603 HOLLY DRIVE,,STERLING,CO,80751,Logan,(970) 521-5368,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062578,15,062578 -  WEST HAMPDEN DIALYSIS (FMC),750 west hampden ave #110,,ENGLEWOOD,CO,80110,Arapahoe,(303) 789-5400,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062579,15,DaVita Loveland Central Dialysis,1453 Denver Ave,,LOVELAND,CO,80538,Larimer,(970) 663-4607,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062580,15,062580 NORTHERN COLORADO HOME THERAPY DIALYSIS (FMC),5285 MCWHINNEY BLVD #190,,LOVELAND,CO,80538,Larimer,(970) 667-0596,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062581,15,062581 KIDNEY CENTER OF NORTHRIDGE (ARA),"1865 W 121st Ave, Ste 300C",,Westminster,CO,80234,Adams,(303) 429-9550,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062582,15,DaVita West Lakewood Dialysis,"11700 W 2ND PL, STE 325",,LAKEWOOD,CO,80228,Jefferson,(303) 987-4672,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062583,15,062583 PARKER KIDNEY CENTER (ARA),18320 E COTTONWOOD DR STE C,,PARKER,CO,80138,Douglas,(303) 805-2060,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062584,15,062584 SOUTH DENVER DIALYSIS (FMC),3410 S GALENA ST SUITE 100,,DENVER,CO,80231,Denver,(303) 671-2419,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062585,15,062585 NORTH GREELEY DIALYSIS (FMC),1212 9TH ST,,GREELEY,CO,80631,Weld,(970) 356-5704,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062586,15,DaVita Greeley Dialysis,2812 W 10TH ST,,GREELEY,CO,80634,Weld,(970) 352-9072,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062587,15,062587 KIDNEY CENTER OF WHEAT RIDGE (ARA),6920 W 38th AVE,,WHEAT RIDGE,CO,80033,Jefferson,(303) 463-3041,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062588,15,DaVita Fort Collins Dialysis,1601 Prospect Parkway,Suite 180,FORT COLLINS,CO,80525,Larimer,(970) 493-0753,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062589,15,062589-KIDNEY CENTER OF THE ROCKIES,50 Buck Creek Road,Suite 110,AVON,CO,81620,Eagle,(970) 949-3236,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062590,15,062590-KIDNEY CENTER OF FREDERICK,5992 Iris Parkway,,LONGMONT,CO,80504,Boulder,(303) 833-1381,Profit,Yes,American Renal Associates,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062591,15,DaVita Platte Valley Dialysis,1321 S 4th Ave,Suite 100,BRIGHTON,CO,80601,Adams,(303) 654-8202,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062592,15,DaVita Montbello Dialysis,4834 Chambers Road,,DENVER,CO,80239,Denver,(303) 371-1502,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062593,15,062593-Fresenius Kidney Care Poudre Valley Dialysis,1526 Oakridge Dr,,Fort Collins,CO,80525,Larimer,(970) 223-8338,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062594,15,062594-Liberty Dialysis-Colorado Springs West,3326 Centennial Blvd,,Colorado Springs,CO,80907,El Paso,(719) 257-6867,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062595,15,062595-Fresenius Kidney Care Castle Rock Dialysis,4352 Trail Boss Drive,,Castle Rock,CO,80104,Douglas,(303) 663-2670,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062596,15,Fresenius Kidney Care Sloans Lake,4097 West Colfax Ave,,Denver,CO,80204,Denver,(720) 472-5525,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062597,15,US Renal Care Altitude Dialysis,12100 E Illiff Ave,Suite 102,Aurora,CO,80014,Arapahoe,(720) 262-7281,Profit,Yes,"US Renal Care, Inc.",21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062598,15,US Renal Care Lone Tree,9777 S Yosemite St,#130A+C,Lonetree,CO,80124,Douglas,(720) 798-3714,Profit,Yes,"US Renal Care, Inc.",21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062599,15,DaVita Red Rocks Dialysis,"9945 W Remington Place, Suite 1",,Littleton,CO,80128,Jefferson,(970) 486-2650,Profit,Yes,DaVita,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062600,15,Fresenius Kidney Care West Belleview,200 W Belleview Ave,Unit 150,Englewood,CO,80110,Arapahoe,(303) 723-6280,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072314,1,Connecticut Children's Medical Center,282 Washington Street,,Hartford,CT,06106,Hartford,(860) 545-8557,Profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072501,1,DaVita Bridgeport Dialysis,900 Madison Avenue,Ste 221,BRIDGEPORT,CT,06606,Fairfield,(203) 335-0191,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,27,13,60,75,2,17,20,63,81,4,25,75,75,2,16,32,52,82,3,10,23,67,88,4,13,24,63,87,3,67,3,23
