"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Total Performance Score","State Average Total Performance Score","National Average Total Performance Score","Payment Reduction Percentage"
"DaVita Edinburg Renal Center","452764","-","3902 S. JACKSON RD.","EDINBURG","TX","78539","Network 14","54","63","64","0.5%"
"DaVita Edison Dialysis","312559","-","29 MERIDIAN ROAD","EDISON","NJ","08820","Network 3","86","66","64","0.0%"
"DaVita Edmond Dialysis Center","372541","-","50 S BAUMANN AVE","EDMOND","OK","73034","Network 13","54","66","64","0.5%"
"DaVita Effingham Dialysis","142580","-","904 MEDICAL PARK DRIVE, SUITE 1","EFFINGHAM","IL","62401","Network 10","67","64","64","0.0%"
"DaVita Effingham North Dialysis","112661","-","1451 GA HWY 21 S","SPRINGFIELD","GA","31329","Network 6","80","59","64","0.0%"
"DaVita Egonsa Dialysis, LLC","742536","-","2500 SOUTH JACKSON RD","McAllen","TX","78503","Network 14","40","63","64","1.0%"
"DaVita Eighth Street Dialysis","092513","-","920 BLADENSBURG ROAD NE","WASHINGTON","DC","20002","Network 5","69","63","64","0.0%"
"DaVita Elberton Dialysis Center","112545","-","894 ELBERT STREET","ELBERTON","GA","30635","Network 6","52","59","64","0.5%"
"DaVita El Campo Dialysis","672645","-","307 SANDY CORNER ROAD","EL CAMPO","TX","77437","Network 14","63","63","64","0.0%"
"DaVita El Cerrito Dialysis","052786","-","10690 SAN PABLO AVENUE","EL CERRITO","CA","94530","Network 17","51","65","64","0.5%"
"DaVita El Dorado Dialysis","552801","-","2977 REDONDO AVENUE","LONG BEACH","CA","90806","Network 18","65","65","64","0.0%"
"DaVita Elizabeth City Dialysis","342515","-","1840 WEST CITY DR","ELIZABETH CITY","NC","27909","Network 6","73","68","64","0.0%"
"DaVita Elizabeth Dialysis","392710","-","201 MCKEESPORT ROAD","Elizabeth","PA","15037","Network 4","59","64","64","0.0%"
"DaVita Elizabethtown Dialysis","392604","-","844 NORTH HANOVER STREET","Elizabethtown","PA","17022","Network 4","82","64","64","0.0%"
"DaVita Elk City Dialysis Center","372531","-","1601 W 2ND ST","ELK CITY","OK","73644","Network 13","84","66","64","0.0%"
"DaVita Elk Grove Dialysis","552529","-","9281 OFFICE PARK CIRCLE #105","ELK GROVE","CA","95758","Network 17","65","65","64","0.0%"
"DaVita Elkhart","152664","-","1401 N MICHIGAN ST","ELKHART","IN","46514","Network 9","56","64","64","0.5%"
"DaVita Ellensburg Dialysis Center","502552","-","2101 W DOLARWAY RD","ELLENSBURG","WA","98926","Network 16","75","67","64","0.0%"
"DaVita Ellicott City Dialysis","212560","-","3419 PLUM TREE DRIVE","ELLICOTT CITY","MD","21042","Network 5","79","66","64","0.0%"
"DaVita Ellijay Dialysis","112709","-","449 INDUSTRIAL BLVD #240","ELLIJAY","GA","30540","Network 6","47","59","64","0.5%"
"DaVita Ellijay HT at Home","112872","-","449 INDUSTRIAL BOULEVARD","ELLIJAY","GA","30540","Network 6","80","59","64","0.0%"
"DaVita Ellsworth Dialysis LLC","742513","-","4601 MEDICAL CENTER DR STE G","MCKINNEY","TX","75069","Network 14","63","63","64","0.0%"
"DaVita El Milagro Dialysis Unit","452727","-","2800 S IH 35 SUITE 120","AUSTIN","TX","78704","Network 14","65","63","64","0.0%"
"DAVITA ELMORA","312704","-","547 MORRIS AVE","ELIZABETH","NJ","07208","Network 3","65","66","64","0.0%"
"DaVita Elmore Dialysis, LLC","742559","-","241 N PRESTON RD STE A","Prosper","TX","75078","Network 14","70","63","64","0.0%"
"DaVita El Paso Peritoneal Dialysis","672768","-","1310 MURCHINSON DRIVE","EL PASO","TX","79902","Network 14","56","63","64","0.5%"
"DaVita El Sobrante Dialysis","552779","-","3380 SAN PABLO DAM RD STE. C-D","SAN PABLO","CA","94803","Network 17","58","65","64","0.0%"
"DaVita Embassy Lakes Artificial Kidney Center","102817","-","11011 SHERIDAN ST","HOLLYWOOD","FL","33026","Network 7","65","57","64","0.0%"
"DaVita Emerald Coast Dialysis","682650","-","1112 HOSPITAL RD","FORT WALTON BEACH","FL","32547","Network 7","46","57","64","1.0%"
"DaVita Emerald Dialysis","142529","-","710 WEST 43RD STREET","CHICAGO","IL","60609","Network 10","49","64","64","0.5%"
"DaVita Emporia at Home Dialysis","172561","-","1616 INDUSTRIAL ROAD STE 2004","EMPORIA","KS","66801","Network 12","71","72","64","0.0%"
"DaVita Encinitas Dialysis","052756","-","332 SANTA FE DRIVE, SUITE 100","Encinitas","CA","92024","Network 18","67","65","64","0.0%"
"DaVita Englewood Dialysis Center","062531","-","3247 S LINCOLN ST","ENGLEWOOD","CO","80113","Network 15","68","72","64","0.0%"
"DaVita Ensley Dialysis","012585","-","2630 AVENUE E","BIRMINGHAM","AL","35218","Network 8","66","65","64","0.0%"
"DaVita Enterprise Dialysis","012642","-","6002 BOLL WEEVIL CIRCLE","ENTERPRISE","AL","36330","Network 8","69","65","64","0.0%"
"DaVita Erie Dialysis","392543","-","350 EAST BAYFRONT PARKWAY, SUITE A","Erie","PA","16507","Network 4","61","64","64","0.0%"
"DaVita Escondido Dialysis","052525","-","203 E. SECOND AVENUE","Escondido","CA","92025","Network 18","78","65","64","0.0%"
"DaVita Essen Lane Dialysis","192716","-","7703 PICARDY AVE","BATON ROUGE","LA","70808","Network 13","75","68","64","0.0%"
"DaVita Estrella Dialysis Center","032612","-","8410 W THOMAS RD STE 100 BLDG 1","PHOENIX","AZ","85037","Network 15","46","64","64","1.0%"
"DaVita Etowah Dialysis","442715","-","109 GRADY RD","ETOWAH","TN","37331","Network 8","72","64","64","0.0%"
"DaVita Etowah Dialysis LLC","392889","-","2550 ROUTE 100, SUITE 2","Macungie","PA","18062","Network 4","88","64","64","0.0%"
"DaVita Eufaula Dialysis","012609","-","220 SOUTH ORANGE AVE","EUFAULA","AL","36027","Network 8","82","65","64","0.0%"
"DaVita Eureka Dialysis Center","262628","-","419 MERAMEC BLVD","EUREKA","MO","63025","Network 12","71","62","64","0.0%"
"DaVita Evanston Renal Center","142511","-","1922 DEMPSTER STREET","EVANSTON","IL","60202","Network 10","70","64","64","0.0%"
"DaVita Everett Dialysis Center","502560","-","8130 EVERGREEN WAY STE C","EVERETT","WA","98203","Network 16","66","67","64","0.0%"
"DaVita Evergreen Park Dialysis","032655","-","926 E MC DOWELL RD","Phoenix","AZ","85006","Network 15","71","64","64","0.0%"
"DaVita Excelsior Springs Dialysis","262662","-","1745 W JESSE JAMES RD","EXCELSIOR SPRINGS","MO","64024","Network 12","63","62","64","0.0%"
"DaVita Exeter Dialysis","552594","-","1116 W. VISALIA ROAD, SUITE 106","Exeter","CA","93221","Network 18","69","65","64","0.0%"
"DaVita Eynon Dialysis","392836","-","260 SCRANTON CARBONDALE HIGHWAY","Eynon","PA","18403","Network 4","72","64","64","0.0%"
"DaVita Faber Place Dialysis","422598","-","3801 FABER PLACE DRIVE","CHARLESTON","SC","29405","Network 6","51","67","64","0.5%"
"DaVita Fairborn Dialysis","362683","-","3070 PRESIDENTIAL DRIVE, SUITE A","BEAVERCREEK","OH","45324","Network 9","61","61","64","0.0%"
"DaVita Fairburn Palmetto Dialysis","852567","-","501 WALNUT WAY","Palmetto","GA","30268","Network 6","50","59","64","0.5%"
"DaVita Fairfax Dialysis Center","492591","-","8501 ARLINGTON BOULEVARD","FAIRFAX","VA","22031","Network 5","77","66","64","0.0%"
"DaVita Fairfield Dialysis","362602","-","1210 HICKS BLVD","FAIRFIELD","OH","45014","Network 9","48","61","64","0.5%"
"DaVita Fairfield Dialysis Center","052618","-","4660 CENTRAL WAY","FAIRFIELD","CA","94534","Network 17","62","65","64","0.0%"
"DaVita Fairfield Downtown Dialysis","552763","-","1800 NORTH TEXAS STREET","FAIRFIELD","CA","94533","Network 17","77","65","64","0.0%"
"DaVita Fairfield Home Training Dialysis","362608","-","1210 HICKS BLVD","FAIRFIELD","OH","45014","Network 9","64","61","64","0.0%"
"DaVita Fairmount Dialysis","392873","-","1236 N. 26TH STREET","Philadelphia","PA","19121","Network 4","61","64","64","0.0%"
"DaVita Fair Oaks Dialysis","492626","-","3955 PENDER DR","FAIRFAX","VA","22030","Network 5","89","66","64","0.0%"
"DaVita Falkenburg Dialysis","682630","-","3140 S FALKENBURG ROAD","RIVERVIEW","FL","33578","Network 7","53","57","64","0.5%"
"DaVita Fall Creek","152694","-","3820 N COLLEGE AVENUE","INDIANAPOLIS","IN","46205","Network 9","71","64","64","0.0%"
"DaVita Fallen Timbers Dialysis","362855","-","4330 KEYSTONE DRIVE","MAUMEE","OH","43537","Network 9","70","61","64","0.0%"
"DaVita Fallon Dialysis","292528","-","1103 NEW RIVER PKWY","FALLON","NV","89406","Network 15","64","59","64","0.0%"
"DaVita Falls Road Dialysis","212588","-","1423 CLARKVIEW ROAD","BALTIMORE","MD","21209","Network 5","77","66","64","0.0%"
"DaVita Falmont Dialysis LLC","232741","-","37290 5 MILE RD","LIVONIA","MI","48154","Network 11","41","63","64","1.0%"
"DaVita Fargo Dialysis Center","352502","-","4474 23RD AVE S","FARGO","ND","58104","Network 11","59","67","64","0.0%"
"DaVita Faribault Dialysis Unit","242508","-","201 LYNDALE AVE S","FARIBAULT","MN","55021","Network 11","75","71","64","0.0%"
"DaVita Fashion Square Dialysis","232719","-","5641 BAY RD","SAGINAW","MI","48604","Network 11","71","63","64","0.0%"
"DaVita Fayette County Dialysis","392767","-","201 MARY HIGGINSON LANE, SUITE A","Uniontown","PA","15401","Network 4","93","64","64","0.0%"
"DaVita Fayette Dialysis","012548","-","2450 TEMPLE AVE N","FAYETTE","AL","35555","Network 8","54","65","64","0.5%"
"DaVita Fayetteville Dialysis","112657","-","1279 HWY 54 WEST #110","FAYETTEVILLE","GA","30214","Network 6","61","59","64","0.0%"
"DaVita Fayetteville Dialysis","042539","-","509 E MILLSAP STE 111","FAYETTEVILLE","AR","72703","Network 13","56","62","64","0.5%"
"DaVita Fayetteville Road Dialysis","342727","-","285 PARACLETE DR","RAEFORD","NC","28376","Network 6","66","68","64","0.0%"
"DaVita Federal Way Community Dialysis Center","502513","-","1015 S 348TH ST","FEDERAL WAY","WA","98003","Network 16","67","67","64","0.0%"
"DaVita Fenton Dialysis","232635","-","17420 SILVER PARKWAY","FENTON","MI","48430","Network 11","79","63","64","0.0%"
"DaVita Firestone Blvd Dialysis","552727","-","11913 FIRESTONE BLVD.","NORWALK","CA","90650","Network 18","58","65","64","0.0%"
"DaVita First Colony Dialysis Center","672592","-","1447 HWY 6 SUITE #140","SUGAR LAND","TX","77478","Network 14","57","63","64","0.0%"
"DaVita Five Rivers Dialysis","362803","-","4750 N MAIN STREET","DAYTON","OH","45405","Network 9","71","61","64","0.0%"
"DaVita Five Seasons Dialysis","162558","-","1002 4TH AVENUE SE, SUITE A","CEDAR RAPIDS","IA","52403","Network 12","68","72","64","0.0%"
"DaVita Five Star Dialysis Center","292538","-","2400 TECH CENTER CT","LAS VEGAS","NV","89128","Network 15","45","59","64","1.0%"
"DaVita Flamingo Park Kindey Center","102664","-","8524 NW 103 ST","HIALEAH GARDENS","FL","33016","Network 7","66","57","64","0.0%"
"DaVita Fleming Island Dialysis","682648","-","4575 US HWY 17","FLEMING ISLAND","FL","32003","Network 7","39","57","64","1.0%"
"DaVita Fleur De Lis Dialysis","192523","-","5555 BULLARD AVE, STE 110","NEW ORLEANS","LA","70128","Network 13","63","68","64","0.0%"
"DaVita Flint Dialysis Center","232608","-","2 HURLEY PLAZA, SUITE 115","FLINT","MI","48503","Network 11","53","63","64","0.5%"
"DaVita Floral Park Home Dialysis (PD)","332750","-","1 CISNEY AVE","FLORAL PARK","NY","11001","Network 2","77","61","64","0.0%"
"DaVita Florence Dialysis","012529","-","422 EAST DR. HICKS BLVD","FLORENCE","AL","35630","Network 8","66","65","64","0.0%"
"DaVita Floresville Dialysis","452733","-","543 10TH STREET","FLORESVILLE","TX","78114","Network 14","70","63","64","0.0%"
"DaVita Florida Renal Center","102840","-","5300 W FLAGLER STREET","CORAL GABLES","FL","33134","Network 7","86","57","64","0.0%"
"DaVita Florin Dialysis Center","052857","-","7000 STOCKTON BLVD.","SACRAMENTO","CA","95823","Network 17","54","65","64","0.5%"
"DaVita Florissant Dialysis","262561","-","10887 W FLORISSANT AVE","Saint Louis","MO","63136","Network 12","59","62","64","0.0%"
"DaVita Flossmore Home Dialysis","142775","-","19720 S GOVERNORS HWY","FLOSSMOOR","IL","60422","Network 10","80","64","64","0.0%"
"DaVita Flower Dialysis","362775","-","5308 HARROUN RD., SUITE 60","SYLVANIA","OH","43560","Network 9","52","61","64","0.5%"
"DaVita Flower Town Home Training","422665","-","2143 NORTH MAIN STREET","SUMMERVILLE","SC","29486","Network 6","77","67","64","0.0%"
"DaVita Floyd Curl Dialysis","672653","-","9238 FLOYD CURL DRIVE, SUITE 102","SAN ANTONIO","TX","78240","Network 14","77","63","64","0.0%"
"DaVita Flushing Dialysis","232601","-","3469 PIERSON PLACE, STE A","FLUSHING","MI","48433","Network 11","63","63","64","0.0%"
"DaVita Fond Du Lac Dialysis","522526","-","210 WISCONSIN AMERICAN DR","FOND DU LAC","WI","54937","Network 11","80","66","64","0.0%"
"DaVita Fontana Dialysis","052682","-","17590 FOOTHILL BLVD.","Fontana","CA","92335","Network 18","68","65","64","0.0%"
"DaVita Ford City Dialysis","142854","-","8159 S. CICERO AVE","CHICAGO","IL","60652","Network 10","64","64","64","0.0%"
"DaVita Foreman Drive Home Training","442758","-","1843 FOREMAN DR STE 201","COOKEVILLE","TN","38501","Network 8","95","64","64","0.0%"
"DaVita Forest Acres Dialysis","422682","-","4450 ROSEWOOD DR","Columbia","SC","29209","Network 6","62","67","64","0.0%"
"DaVita Forest City Dialysis","142825","-","198 NORTH SPRINGFIELD AVENUE","ROCKFORD","IL","61101","Network 10","47","64","64","0.5%"
"DaVita Forest Fair Dialysis","362734","-","1145 KEMPER MEADOW DRIVE","CINCINNATI","OH","45240","Network 9","42","61","64","1.0%"
"DaVita Forest Hill Avenue Dialysis","492663","-","4900 FOREST HILL AVE","RICHMOND","VA","23225","Network 5","65","66","64","0.0%"
"DaVita Forest Hills Dialysis","342637","-","1605 MEDICAL PARK DRIVE WEST","WILSON","NC","27893","Network 6","67","68","64","0.0%"
"DaVita Forest Landing Dialysis","212668","-","2220 COMMERCE AVE   STE 1","FOREST HILL","MD","21050","Network 5","82","66","64","0.0%"
"DaVita Forest Park Dialysis Center","112692","-","380 FOREST PARKWAY","FOREST PARK","GA","30297","Network 6","42","59","64","1.0%"
"DaVita Forestville Dialysis","212695","-","3424 DONNELL DR","Forestville","MD","20747","Network 5","49","66","64","0.5%"
"DaVita Forrest City Dialysis","042585","-","1501 N WASHINGTON ST","FORREST CITY","AR","72335","Network 13","70","62","64","0.0%"
"DaVita Fort Atkinson Dialysis","522533","-","525 HANDEYSIDE LANE","FORT ATKINSON","WI","53538","Network 11","65","66","64","0.0%"
"DaVita Fort Belvoir Diaylsls","492734","-","8123 RICHMOND HIGHWAY","Alexandria","VA","22309","Network 5","63","66","64","0.0%"
"DaVita Fort Brown Dialysis","672777","-","2000 BOCA CHICA BLVD","BROWNSVILLE","TX","78521","Network 14","54","63","64","0.5%"
"DaVita Fort Campbell Dialysis","442742","-","1459 FORT CAMPBELL BLVD","CLARKSVILLE","TN","37042","Network 8","53","64","64","0.5%"
"DaVita Fort Collins Dialysis","062588","-","1601 PROSPECT PARKWAY","FORT COLLINS","CO","80525","Network 15","81","72","64","0.0%"
"DaVita Fort Lauderdale Dixie Dialysis","102701","-","1299 EAST COMMERCIAL BLVD #100","OAKLAND PARK","FL","33334","Network 7","61","57","64","0.0%"
"DaVita Fort Mill Dialysis","422609","-","1975 CAROLINA PLACE DR","FORT MILL","SC","29708","Network 6","84","67","64","0.0%"
"DaVita Fort Myers Dialysis","102513","-","4220 EXECUTIVE CIRCLE #38","FORT MYERS","FL","33916","Network 7","70","57","64","0.0%"
"DaVita Fort Myers North Dialysis","102788","-","16101 NORTH CLEVELAND AVE","NORTH FORT MYERS","FL","33903","Network 7","78","57","64","0.0%"
"DaVita Fort Myers South Dialysis","102744","-","8850 GLADIOLUS DR","FORT MYERS","FL","33908","Network 7","83","57","64","0.0%"
"DaVita Fort Valley Dialysis Center","112559","-","557 BLUEBIRD BLVD","FORT VALLEY","GA","31030","Network 6","47","59","64","0.5%"
"DaVita Fort Wayne North Dialysis","152681","-","415 E DUPONT ROAD","FORT WAYNE","IN","46825","Network 9","41","64","64","1.0%"
"DaVita Fort Wayne South","152647","-","302 E. PETTIT AVE.","FORT WAYNE","IN","46806","Network 9","53","64","64","0.5%"
"DaVita Fort Wayne West Dialysis","152648","-","4916 ILLINOIS ROAD, SUITE 118","FORT WAYNE","IN","46804","Network 9","76","64","64","0.0%"
"DaVita Fort Worth Saginaw Dialysis","672761","-","900 NORTH BLUE MOUND ROAD","SAGINAW","TX","76131","Network 14","77","63","64","0.0%"
"DaVita Foster Powell Dialysis","382582","-","6828 SE FOSTER RD","Portland","OR","97206","Network 16","No Score","67","64","0.0%"
"DaVita Fountain Hills Dialysis","032645","-","13430 N SAGUARO BLVD","FOUNTAIN HILLS","AZ","85268","Network 15","71","64","64","0.0%"
"DaVita Fountain Inn Dialysis","422616","-","289 CHAPMAN RD","FOUNTAIN INN","SC","29644","Network 6","72","67","64","0.0%"
"DaVita Fountain Valley Dialysis","552630","-","17150 EUCLID STREET, SUITE 111","Fountain Valley","CA","92708","Network 18","66","65","64","0.0%"
"DaVita Four Corners Dialysis Center","322503","-","801 W BROADWAY","FARMINGTON","NM","87401","Network 15","51","71","64","0.5%"
"DaVita Four Freedoms Dialysis","102737","-","289 SW RANGE AVE","MADISON","FL","32340","Network 7","85","57","64","0.0%"
"DaVita Four Rivers Dialysis Center","382519","-","515 EAST LANE","ONTARIO","OR","97914","Network 16","76","67","64","0.0%"
"DaVita Fourth Street Dialysis","452776","-","3101 NORTH 4TH ST","LONGVIEW","TX","75605","Network 14","51","63","64","0.5%"
"DaVita Foxpoint Dialysis","142838","-","1300 SCHAEFER RD. SUITE J","GRANITE CITY","IL","62040","Network 10","50","64","64","0.5%"
"DaVita Fox River Dialysis","522501","-","1910 RIVERSIDE DR","GREEN BAY","WI","54301","Network 11","76","66","64","0.0%"
"DAVITA FRACKVILLE DIALYSIS","392776","-","950 MALL RD","Frackville","PA","17931","Network 4","53","64","64","0.5%"
"DaVita Franconia Dialysis Center","492623","-","5695 KING CENTRE DR","ALEXANDRIA","VA","22315","Network 5","58","66","64","0.0%"
"Davita Frankfort PD","182648","-","601 CHAMBERLIN AVE","Frankfort","KY","40601","Network 9","No Score","68","64","0.0%"
"DaVita Franklin Commons Dialysis","392771","-","720 JOHNSVILLE BOULEVARD, SUITE 800","Warminster","PA","18974","Network 4","51","64","64","0.5%"
"DaVita Franklin Dialysis at Home","392756","-","301 CALLOWHILL STREET","Philadelphia","PA","19123","Network 4","51","64","64","0.5%"
"DaVita Franklin (IN) at Home","152603","-","1140 W JEFFERSON STREET, SUITE A","FRANKLIN","IN","46131","Network 9","64","64","64","0.0%"
"DaVita Franklin Park Dialysis","312684","-","3079 STATE ROUTE 27","FRANKLIN PARK","NJ","08823","Network 3","66","66","64","0.0%"
"DaVita Franklin Township Dialysis","342696","-","80 WESTGATE PLAZA","FRANKLIN","NC","28734","Network 6","85","68","64","0.0%"
"DaVita Frederick Dialysis","212598","-","140 THOMAS JOHNSON DR","FREDERICK","MD","21702","Network 5","63","66","64","0.0%"
"DaVita Freedom Dialysis","152690","-","800 N. MAIN ST.","EVANSVILLE","IN","47711","Network 9","65","64","64","0.0%"
"DaVita Freehold Dialysis","312517","-","300 CRAIG ROAD","Manalapan","NJ","07726","Network 3","62","66","64","0.0%"
"DaVita Freeport Kidney Center","332529","-","351 SOUTH MAIN STREET","FREEPORT","NY","11520","Network 2","52","61","64","0.5%"
"DaVita Free State Dialysis","172573","-","1918 E 23RD ST","LAWRENCE","KS","66046","Network 12","65","72","64","0.0%"
"DaVita Fremaux Dialysis","192724","-","1566 SHORTCUT HWY","SLIDELL","LA","70458","Network 13","54","68","64","0.5%"
"DaVita Fremont at Home PD","552699","-","39355 CALIFORNIA ST","FREMONT","CA","94538","Network 17","69","65","64","0.0%"
"DaVita Fremont Dialysis","552698","-","2599 STEVENSON BLVD","FREMONT","CA","94538","Network 17","80","65","64","0.0%"
"DaVita Fremont Regional Dialysis","362791","-","100 PINNACLE DR","FREMONT","OH","43420","Network 9","67","61","64","0.0%"
"DaVita Fresno at Home","552645","-","6121 N. THESTA ST., STE# 102","FRESNO","CA","93710","Network 17","50","65","64","0.5%"
"DaVita Fresno Dialysis","052608","-","4308 WEST SHAW AVENUE","FRESNO","CA","93722","Network 17","48","65","64","0.5%"
"DaVita Fresno North HT at Home","552782","-","6655 N. MILBURN","FRESNO","CA","93722","Network 17","66","65","64","0.0%"
"DaVita Fresno Palm Bluffs Dialysis","552505","-","770 WEST PINEDALE AVE","FRESNO","CA","93711","Network 17","59","65","64","0.0%"
"DaVita Friendly Farms Home Dialysis (PD-HHD)","212714","-","10905 FORT WASHINGTON ROAD","FORT WASHINGTON","MD","20744","Network 5","65","66","64","0.0%"
"DaVita Front Royal Dialysis","492573","-","1360 N SHENANDOAH AVE","FRONT ROYAL","VA","22630","Network 5","59","66","64","0.0%"
"DaVita Fullerton Dialysis","052505","-","238 ORANGEFAIR MALL","Fullerton","CA","92832","Network 18","68","65","64","0.0%"
"DaVita Gadsden Dialysis","012501","-","409 SOUTH FIRST STREET","GADSDEN","AL","35901","Network 8","77","65","64","0.0%"
"DaVita Gainesville Dialysis","112693","-","2545 FLINTRIDGE ROAD","GAINESVILLE","GA","30501","Network 6","82","59","64","0.0%"
"DaVita Gainesville Home Dialysis","682531","-","4960 W NEWBERRY RD #280","GAINESVILLE","FL","32607","Network 7","89","57","64","0.0%"
"DaVita Gainesville Newberry Dialysis","682592","-","1177 NW 64TH TERRACE","GAINESVILLE","FL","32605","Network 7","51","57","64","0.5%"
"DaVita Gaithersburg Dialysis","212728","-","202 PERRY PARKWAY","GAITHERSBURG","MD","20877","Network 5","66","66","64","0.0%"
"DaVita Galion Dialysis","362816","-","856 HARDING WAY WEST","GALION","OH","44833","Network 9","70","61","64","0.0%"
"DaVita Galleria Dialysis","442611","-","9160 US HIGHWAY 64","LAKELAND","TN","38002","Network 8","58","64","64","0.0%"
"DaVita Galleria Home Training Dialysis PD","442678","-","9045 HWY 64","LAKELAND","TN","38002","Network 8","69","64","64","0.0%"
"DaVita Gardena Dialysis","552897","-","1201 W 155TH STREET","Gardena","CA","90247","Network 18","40","65","64","1.0%"
"DaVita Garden City Dialysis Center","332605","-","1100 STEWART AVENUE","GARDEN CITY","NY","11530","Network 2","63","61","64","0.0%"
"DaVita Garden City Dialysis Center","172514","-","2308 E KANSAS AVE","Garden City","KS","67846","Network 12","73","72","64","0.0%"
"Davita Garden Grove Harbor Dialysis","552781","-","13054 NORTH HARBOR BLVD.","GARDEN GROVE","CA","92843","Network 18","59","65","64","0.0%"
"DaVita Gardenside Dialysis","182544","-","70 N GARDENMILE ROAD","HENDERSON","KY","42420","Network 9","67","68","64","0.0%"
"DaVita Garden West Dialysis","232550","-","5715 N VENOY RD","WESTLAND","MI","48185","Network 11","57","63","64","0.0%"
"DaVita Gardner Dialysis","172560","-","328 E MAIN ST","GARDNER","KS","66030","Network 12","65","72","64","0.0%"
"DaVita Garfield Hemodialysis Center","052564","-","118 HILLIARD AVENUE","Monterey Park","CA","91754","Network 18","79","65","64","0.0%"
"DaVita Garfield Home Program","552666","-","228 N. GARFIELD AVENUE, #301","Monterey Park","CA","91754","Network 18","97","65","64","0.0%"
"DaVita Garfield Kidney Center","142777","-","414 N. HOMAN AVENUE","Chicago","IL","60624","Network 10","60","64","64","0.0%"
"DaVita Garland Dialysis","672555","-","776 E CENTERVILLE ROAD","GARLAND","TX","75041","Network 14","59","63","64","0.0%"
"DaVita Garland Shiloh Dialysis","672868","-","800 N SHILOH ROAD","GARLAND","TX","75042","Network 14","56","63","64","0.5%"
"DaVita Garrisonville Dialysis Center","492637","-","70 DOC STONE RD #101","STAFFORD","VA","22556","Network 5","81","66","64","0.0%"
"DaVita Gateway Plaza Dialysis Center","552661","-","1580 W. ROSECRANS AVENUE","Compton","CA","90220","Network 18","48","65","64","0.5%"
"DaVita Gaylord Dialysis","232556","-","1989 WALDEN DR","GAYLORD","MI","49735","Network 11","78","63","64","0.0%"
"DaVita General Butler Dialysis","182616","-","329 FLOYD DRIVE","CARROLLTON","KY","41008","Network 9","69","68","64","0.0%"
"DaVita Genessee Dialysis, LLC","422679","-","5552 PLATT SPRINGS ROAD","Lexington","SC","29073","Network 6","60","67","64","0.0%"
"DaVita Geneva Crossings","142858","-","546 S SCHMALE ROAD","CAROL STREAM","IL","60188","Network 10","62","64","64","0.0%"
"DaVita Gentilly Dialysis","192735","-","4720 PARIS AVE","NEW ORLEANS","LA","70122","Network 13","52","68","64","0.5%"
"DaVita Georgetown Dialysis","672687","-","201 FM 971","GEORGETOWN","TX","78626","Network 14","67","63","64","0.0%"
"DaVita Georgetown Home Training","092516","-","2233 WISCONSIN AVE NW","WASHINGTON","DC","20007","Network 5","74","63","64","0.0%"
"DaVita Georgia Dialysis for Adolescents and Pediatrics","112816","-","4434 HUGH HOWELL RD","TUCKER","GA","30084","Network 6","34","59","64","1.5%"
"DaVita Germantown Dialysis","212638","-","20111 CENTURY BLVD   STE C","GERMANTOWN","MD","20874","Network 5","76","66","64","0.0%"
"DaVita Gilbert Dialysis Center","032605","-","5222 E BASELINE RD STE 104","GILBERT","AZ","85234","Network 15","65","64","64","0.0%"
"DaVita Giles County Dialysis","492671","-","377 BOXWOOD LN","PEARISBURG","VA","24134","Network 5","82","66","64","0.0%"
"DaVita Gilmer Dialysis","452897","-","510 US HWY 271 N","GILMER","TX","75644","Network 14","56","63","64","0.5%"
"DaVita Gladwin Dialysis","232649","-","673 QUARTER ST","GLADWIN","MI","48624","Network 11","72","63","64","0.0%"
"DaVita Glenarden Dialysis","212699","-","9701 PHILADELPHIA CT.","LANHAM","MD","20706","Network 5","85","66","64","0.0%"
"DaVita Glen Burnie Dialysis","212631","-","6934 AVIATION BLVD","GLEN BURNIE","MD","21061","Network 5","65","66","64","0.0%"
"DaVita Glen Burnie Home Training","212674","-","6934 AVIATION BLVD","GLEN BURNIE","MD","21061","Network 5","46","66","64","1.0%"
"DaVita Glencoe Dialysis","242596","-","1123 HENNEPIN AVE N","GLENCOE","MN","55336","Network 11","67","71","64","0.0%"
"DaVita Glen Creek Dialysis","382585","-","645 9TH ST NW SUITE 145","Salem","OR","97304","Network 16","72","67","64","0.0%"
"DaVita Glendale Heights","552885","-","6850 SAN FERNANDO RD","Glendale","CA","91201","Network 18","75","65","64","0.0%"
"DaVita Glen Dialysis","142746","-","2601 COMPASS ROAD SUITE 145","GLENVIEW","IL","60026","Network 10","79","64","64","0.0%"
"DaVita Glendora Foothills Dialysis","552785","-","750 WEST ROUTE 66, SUITE Q","GLENDORA","CA","91740","Network 18","61","65","64","0.0%"
"DaVita Glen Raven Dialysis","342726","-","2210  W. WEBB AVE","BURLINGTON","NC","27217","Network 6","70","68","64","0.0%"
"DaVita Glenside Dialysis","492701","-","7001 WEST BROAD STREET","Richmond","VA","23294","Network 5","75","66","64","0.0%"
"DaVita Glenvar Dialysis","492709","-","3737 WEST MAIN STREET","SALEM","VA","24153","Network 5","68","66","64","0.0%"
"DaVita Gloucester Dialysis","312694","-","1217 S BLACK HORSE PIKE","Williamstown","NJ","08094","Network 3","63","66","64","0.0%"
"DaVita Golden Gate Dialysis","552811","-","2700 GEARY BLVD. SUITE A","SAN FRANCISCO","CA","94118","Network 17","56","65","64","0.5%"
